hostname,num_stars,num_planets,orbital_period_mean,inner_orbit,outer_orbit,planet_radius_mean,planet_radius_std,planet_mass_mean,planet_mass_std,eccentricity_mean,stellar_temp,stellar_radius,stellar_mass,stellar_metallicity,log_orbital_period_mean,orbital_span,system_compactness,mass_to_radius_ratio,planet_per_star_ratio
DMPP-4,1,1,3.4982,0.04853,0.04853,3.53,0.0,12.2,0.0,0.063,6400.0,1.38,1.25,-0.007,0.5438446354495112,0.0,0.0,3.456090651558074,1.0
DMPP-6,1,2,22.02185,0.0779,0.2206,3.01,1.0323759005323598,9.635,5.42350901170082,0.325,6182.09,1.27,1.079,0.32,1.3428538001508508,0.1427,14.015416958654521,3.200996677740864,2.0
EPIC 201170410,1,1,6.7987,0.0349,0.0349,1.047,0.0,1.15,0.0,0.0,3648.0,0.282,0.287,-0.048,0.8324258778825849,0.0,0.0,1.0983763132760267,1.0
EPIC 201595106,1,2,5.33708,0.0177,0.0883,2.7924999999999995,1.735947147812974,11.45,5.3457272657703,0.055,5679.0,0.98,0.958,0.01,0.7273037126964407,0.0706,28.328611898016998,4.100268576544315,2.0
EPIC 201757695,1,1,2.0478,0.0296,0.0296,0.90819,0.0,0.688,0.0,0.0,4520.0,0.655,0.727,-0.003,0.3112875386622825,0.0,0.0,0.7575507327761811,1.0
EPIC 211822797,1,1,21.1701963,0.1195,0.1195,1.92,0.0,4.35,0.0,0.06,4057.0,0.58,0.62,0.2,1.32572488502043,0.0,0.0,2.265625,1.0
EPIC 211945201,1,1,19.49221,0.1493,0.1493,5.76,0.0,11.0,0.0,0.0,6069.0,1.39,1.17,0.1,1.2898610816211138,0.0,0.0,1.9097222222222223,1.0
EPIC 212737443,1,2,39.576499999999996,0.098,0.28,2.638,0.07353910524340102,7.45,0.3535533905932738,0.2,4684.0,0.673,0.69,-0.137,1.597437384163009,0.18200000000000002,10.989010989010987,2.8241091736163764,2.0
EPIC 220674823,1,2,6.95560135,0.01314,0.1073,2.258,0.8230722933011412,7.5600000000000005,0.33941125496954283,0.085,5578.0,0.99,0.913,-0.005,0.8423346830982851,0.09416000000000001,21.240441801189462,3.3480956598759968,2.0
EPIC 229004835,1,1,16.141132,0.1237,0.1237,2.332,0.0,10.4,0.0,0.23,5868.0,0.999,0.97,-0.12,1.2079339891291785,0.0,0.0,4.459691252144083,1.0
EPIC 248847494,1,1,3650.0,4.5,4.5,12.44199,0.0,4131.79,0.0,0.0,4898.0,2.7,0.9,-0.23,3.5622928644564746,0.0,0.0,332.08433699110833,1.0
EPIC 249893012,1,3,18.322033333333334,0.047,0.22,3.186666666666667,1.0794597414138858,11.200000000000001,3.088996600839826,0.09333333333333334,5430.0,1.71,1.05,0.2,1.262973668919415,0.173,17.341040462427745,3.514644351464435,3.0
G 9-40,1,1,5.7459982,0.0418,0.0418,1.9,0.0,4.0,0.0,0.0,3395.0,0.3026,0.2952,-0.07,0.7593654856082103,0.0,0.0,2.1052631578947367,1.0
GJ 1061,1,3,7.651800000000001,0.021,0.054,1.13,0.07937253933193768,1.53,0.3704051835490427,0.03666666666666667,2953.0,0.156,0.12,-0.08,0.8837636100704289,0.033,90.9090909090909,1.3539823008849559,3.0
GJ 1132,1,2,5.278964555,0.0157,0.0476,1.310757325,0.16863460819864715,2.238524095,0.5677726698170126,0.1409,3229.0,0.2211,0.1945,-0.17,0.7225487459904281,0.031900000000000005,62.69592476489027,1.7078097160357275,2.0
GJ 1148,1,2,286.98,0.166,0.912,10.805,1.548563850798538,82.38,20.251538213182716,0.361,3287.0,0.358519,0.344045,0.1596,2.457851631255608,0.746,2.680965147453083,7.624248033317908,2.0
GJ 1214,1,1,1.580404531,0.01505,0.01505,2.733,0.0,8.41,0.0,0.0062,3101.0,0.2162,0.182,0.24,0.1987682661280347,0.0,0.0,3.0772045371386754,1.0
GJ 1252,1,1,0.5182331,0.00915,0.00915,1.193,0.0,1.32,0.0,0.0,3458.0,0.391,0.381,0.1,-0.28547485169703957,0.0,0.0,1.1064543168482817,1.0
GJ 1265,1,1,3.6511,0.026,0.026,2.63,0.0,7.4,0.0,0.04,3236.0,0.192,0.178,-0.04,0.5624237280068187,0.0,0.0,2.8136882129277567,1.0
GJ 1289,1,1,111.74,0.27,0.27,2.38,0.0,6.27,0.0,0.0,3296.0,0.245012,0.21,0.02,2.0482086670241455,0.0,0.0,2.634453781512605,1.0
GJ 143,1,2,21.70123,0.0695,0.1915,1.751,1.2148094500784885,13.2,13.435028842544403,0.188,4640.0,0.695,0.73,0.003,1.3364843498427252,0.122,16.39344262295082,7.538549400342661,2.0
GJ 15 A,2,2,3805.72035,0.072,5.4,4.11,3.6203867196751234,19.515,23.31331057572047,0.182,3607.0,0.38,0.38,-0.34,3.580436872518018,5.328,0.37537537537537535,4.748175182481751,1.0
GJ 163,1,3,212.7378533333333,0.0607,1.0304,3.89,1.7975817088522015,15.6,12.101239605924675,0.18166666666666664,3500.0,0.409738,0.4,0.1,2.3278447726066673,0.9697,3.0937403320614623,4.010282776349614,3.0
